"ID";"Wave";"SiteCode";"Categories";"Feedback"
"988999";"Wave 1 2024";"2117";"Cleanliness, Facility";"Store Eiger Purwokerto dalam keadaan bersih, untuk pelayanan dari Retail Assistant cukup baik. Namun untuk toiletnya terlihat kotor dan closet dalam keadaan rusak."
"989972";"Wave 1 2024";"2094";"Service";"Retail Assistant yang melayani sangat pasif, tidak ada inisiatif untuk memberikan informasi-informasi kepada Pelanggan. Saat Pelanggan mengajukan pertanyaan pun hanya dijawab singkat."
"989149";"Wave 1 2024";"Closed";"Facility, Service";"Suasana dan hawa store terasa panas, pengap dan tidak berbau harum. Hal itu kemungkinan disebabkan karena AC rusak dilihat saat Pelanggan memasuki store, pintu store dibiarkan terbuka lebar. Kemudian saat itu, kondisi store juga dalam keadaan cukup ramai sedangkan Retail Assistant yang bertugas hanya ada 2 orang. Sehingga pelayanan yang diberikan kepada Pelanggan masih kurang memuaskan."
"991010";"Wave 1 2024";"Closed";"Service";"Retail Assistant yang melayani Pelanggan terkesan cuek dan terlihat tidak antusias, kurang inisiatif dalam memberikan informasi-informasi mengenai produk kepada Pelanggan and lebih ke hanya menjawab pertanyaan-pertanyaan yang diajukan oleh Pelanggan."
"991697";"Wave 1 2024";"2205";"Cleanliness, Facility, People";"Toko Eiger Sudirman Duri terlihat rapi dan bersih, akan tetapi terdapat noda hitam pada fitting room, retakan pada dinding toko. Untuk pelayanan Retail Assistant dan Kasir melayani Pelanggan dengan baik, akan tetapi untuk Retail Assistant terlihat memelihara kumis dan ID Card yang dikenakan di simpan pada kantung baju. Untuk Kasir mengenakan seragam yang bersih dan lengkap, namun jilbab yang dikenakan dibiarkan menjuntai ke bawah dan tidak dimasukan ke dalam kerah seragam."
"989134";"Wave 1 2024";"7037";"Service";"Terdapat 2 Retail Assistant yang bertugas saat Pelanggan melakukan kunjungan, namun yang lebih banyak melayani Pelanggan adalah Retail Assistant Atika, sedangkan Retail Assistant Rimah sesekali saja. Kedua Retail Assistant tersebut masih terkesan pasif, tidak ada iniastif untuk lebih memberikan informasi-informasi mengenai produk kepada Pelanggan, sehingga harus terus dipancing / ditanya terlebih dahulu oleh Pelanggan."
"988824";"Wave 1 2024";"2260";"Service";"Pada saat memasuki outlet, Retail Assistant hanya tetap berdiri di tempat kasir karena di outlet hanya terdapat satu petugas yang sedang berjaga."
"989014";"Wave 1 2024";"5105";"Service";"Retail Assistant sangat kurang dalam hal pendampingan terhadap Pelanggan, Retail Assistant hanya melayani Pelanggan jika dihampiri oleh Pelanggan. Retail Assistant Wanita yang melayani Pelanggan juga merangkap tugas menjadi Kasir."
"988909";"Wave 1 2024";"2069";"Service";"Toko Eiger Jember terlihat bersih namun sedang ada perbaikan pemasangan stiker. Untuk pelayanan Retail Assistant dan Kasir Pelanggan dilayani dengan baik, akan tetapi keduanya kurang inisiatif dan kurang antusias saat melayani Pelanggan."
"989046";"Wave 1 2024";"2204";"Service";"Pelanggan merasa tidak dilayani dengan baik oleh Staf karena tidak ditanyakan terkait kebutuhan Pelanggan, Staf terkesan pasif sehingga Pelanggan yang berinisiatif sendiri bertanya kepada Staf."
